実施 する 	 じっし する
指数化 し て 	 しすうか し て
スタート し た 	 すたーと し た
通り 	 とおり
向かう 	 むかう
置く 	 おく
搭載 し た 	 とうさい し た
発表 	 はっぴょう
かかわら ず 	 かかわら ず
落ち着 ける 	 おちつ ける
載っ て 	 のっ て
拘束 さ れ 	 こうそく さ れ
解放 さ れる 	 かいほう さ れる
挙がっ て 	 あがっ て
関連 する 	 かんれん する
優勝 し 	 ゆうしょう し
与え た 	 あたえ た
選ば れる 	 えらば れる
なり まし た 	 なり まし た
認め ませ ん 	 みとめ ませ ん
出演 し た 	 しゅつえん し た
入れ替え する 	 いれかえ する
とっ た 	 とっ た
開か れる 	 ひらか れる
なっ て 	 なっ て
開催 せ ず 	 かいさい せ ず
なる 	 なる
あり ます 	 あり ます
登場 する 	 とうじょう する
許さ れる 	 ゆるさ れる
師事 し 	 しじ し
出 て 	 で て
相当 する 	 そうとう する
就か ず 	 つか ず
据え た 	 すえ た
行け ず 	 いけ ず
接続 	 せつぞく
出世 する 	 しゅっせ する
さ れ 	 さ れ
出る 	 でる
合わせ 	 あわせ
入れ替え 	 いれかえ
働き 始める 	 はたらき はじめる
乗り入れ 	 のりいれ
直通運転 する 	 ちょくつううんてん する
整っ て 	 ととのっ て
受け やすい 	 うけ やすい
見 られる 	 み られる
基づい た 	 もとづい た
思わ れ ます 	 おもわ れ ます
省き ます 	 しょうき ます
合格 し た 	 ごうかく し た
参加 でき ます 	 さんか でき ます
報じ て 	 ほうじ て
否定 し まし た 	 ひてい し まし た
戻し 	 もどし
位置 する 	 いち する
完成 し 	 かんせい し
行わ れ た 	 おこなわ れ た
備える 	 そなえる
老い て 	 おい て
優れ て 	 すぐれ て
対応 し て 	 たいおう し て
狙う 	 ねらう
さ れる 	 さ れる
略す 	 りゃくす
請求 する 	 せいきゅう する
委ねる 	 ゆだねる
気に入っ て 	 きにいっ て
通っ て 	 かよっ て
はまっ ちゃっ た 	 はまっ ちゃっ た
気づ かさ れ た 	 きづ かさ れ た
リード し た 	 りーど し た
加点 	 かてん
使わ れ て 	 つかわ れ て
位置 し て 	 いち し て
訪れ た 	 おとずれ た
合わせ て 	 あわせ て
選ぶ 	 えらぶ
でき ます 	 でき ます
担当 する 	 たんとう する
赴き 	 おもむき
表明 し た 	 ひょうめい し た
貫通 する 	 かんつう する
誇る 	 ほこる
入社 	 にゅうしゃ
抱える 	 かかえる
拡がる 	 ひろがる
惧れ た 	 おそれ た
集め 	 あつめ
開い た 	 ひらい た
適用 さ れ ない 	 てきよう さ れ ない
なる みたい です 	 なる みたい です
使用 し 	 しよう し
行う 	 おこなう
隆盛 し た 	 りゅうせい し た
祀ら れ た 	 まつら れ た
取り消さ れ て 	 とりけさ れ て
いる 	 いる
聞い た 	 きい た
表示 	 ひょうじ
にぎり 	 にぎり
開催 し 	 かいさい し
協議 し て 	 きょうぎ し て
運行 する 	 うんこう する
降り 	 おり
通じる 	 つうじる
向け て 	 むけ て
歩く 	 あるく
入れ て 	 いれ て
競技 する 	 きょうぎ する
合っ た 	 あっ た
履い て 	 はい て
する 	 する
やり たい 	 やり たい
浮かす 	 うかす
暮らす 	 くらす
利用 し た 	 りよう し た
着せ 	 きせ
終了 し た 	 しゅうりょう し た
経 て 	 へ て
務め た 	 つとめ た
いただい た 	 いただい た
考え抜か れ た 	 かんがえぬか れ た
いただけ ます 	 いただけ ます
派生 する 	 はせい する
披露 さ れ た 	 ひろう さ れ た
セッション さ れ た 	 せっしょん さ れ た
構成 さ れ た 	 こうせい さ れ た
博し た 	 ひろしし た
獲得 	 かくとく
合流 し 	 ごうりゅう し
公布 さ れ た 	 こうふ さ れ た
呼ば れ て 	 よば れ て
厭わ ず 	 いやわ ず
行動 し 	 こうどう し
消え て 	 きえ て
馳せる 	 はせる
差し た 	 さし た
ござい ます 	 ござい ます
握る 	 にぎる
見 出す 	 み いだす
狙っ た 	 ねらっ た
リラックス でき 	 りらっくす でき
癒さ れ まし た 	 いやさ れ まし た
疲れ て 	 つかれ て
笑わせ た 	 わらわせ た
揃っ て 	 そろっ て
相続 し た 	 そうぞく し た
受け継ぎ 	 うけつぎ
当選 する 	 とうせん する
予約 し て 	 よやく し て
来 たいです 	 き たいです
優勝 し た 	 ゆうしょう し た
観 た 	 み た
仰ぐ べく 	 あおぐ べく
進学 	 しんがく
倒れ て 	 たおれ て
行き 	 いき
連打 する 	 れんだ する
踏みつける 	 ふみつける
食べ 	 たべ
行き まし た 	 いき まし た
混雑 し て 	 こんざつ し て
垣間見 える 	 かきまみ える
買う 	 かう
殺す よう 	 ころす よう
進言 し た 	 しんげん し た
叛く 	 そむく
つく 	 つく
せ ず 	 せ ず
招い て 	 まねい て
もっ て 	 もっ て
害し 	 がいし
し ない 	 し ない
去り たい 	 さり たい
せよ 	 せよ
渡し た 	 わたし た
発行 さ れ て 	 はっこう さ れ て
知ら なかっ た 	 しら なかっ た
実装 する 	 じっそう する
用い て 	 もちい て
繋げる 	 つなげる
あふれる 	 あふれる
出航 する 	 しゅっこう する
切断 さ れ た 	 せつだん さ れ た
かぶせる ように し て 	 かぶせる ように し て
重ね て 	 かさね て
貼っ て 	 はっ て
取り入れ て 	 とりいれ て
勧め です 	 すすめ です
言う 	 いう
する ような 	 する ような
行け 	 いけ
兼任 する 	 けんにん する
書い て 	 かい て
止め よう 	 とめ よう
思っ たら 	 おもっ たら
ぶっかけ 	 ぶっかけ
混ぜ て 	 まぜ て
食べ て 	 たべ て
真似 し たく て 	 まね し たく て
頼ん だ 	 たのん だ
来場 	 らいじょう
並ん 	 なみん
覚え て 	 おぼえ て
明かし 	 あかし
否定 し た 	 ひてい し た
伝達 する 	 でんたつ する
担い 	 にない
協力 し て 	 きょうりょく し て
支援 する 	 しえん する
相次い 	 あいつい
注目 	 ちゅうもく
取り組む 	 とりくむ
計上 し た 	 けいじょう し た
呼ば れる 	 よば れる
飼育 さ れる 	 しいく さ れる
い た 	 い た
雇わ れ た 	 やとわ れ た
伴い 	 ともない
雇わ れる 	 やとわ れる
残存 する 	 ざんぞん する
図っ た 	 ずっ た
賄っ て 	 まかなっ て
明言 さ れ て 	 めいげん さ れ て
離婚 し た 	 りこん し た
引き取ら れ 	 ひきとら れ
居候 し 	 いそうろう し
励ん だ 	 はげん だ
起こし た 	 おこし た
影響 さ れ た 	 えいきょう さ れ た
思わ れる 	 おもわ れる
貼っ 	 はっ
あおぐ 	 あおぐ
寄せ付け ない ような 	 よせつけ ない ような
在籍 し 	 ざいせき し
受け 	 うけ
読む 	 よむ
あっ た 	 あっ た
知っ て 	 しっ て
共有 できる 	 きょうゆう できる
立ち上げ ます 	 たちあげ ます
使用 さ れる 	 しよう さ れる
組み合わせ て 	 くみあわせ て
使わ れる 	 つかわ れる
配信 する 	 はいしん する
更新 さ れ 	 こうしん さ れ
更新 	 こうしん
しまっ て 	 しまっ て
入っている 	 はいっている
開け て 	 あけ て
見る 	 みる
検挙 さ れ た 	 けんきょ さ れ た
否定 し 続け た 	 ひてい し つづけ た
越し 	 ごし
罹患 し た 	 りかん し た
所在 し 	 しょざい し
祀る 	 まつる
予定 さ れ て 	 よてい さ れ て
関わり 	 かかわり
問題 	 もんだい
視 さ れ 	 し さ れ
あり まし た 	 あり まし た
探訪 し た 	 たんぼう し た
懸念 し て 	 けねん し て
暮らし て 	 くらし て
掲載 さ れ 	 けいさい さ れ
押し付け られ て 	 おしつけ られ て
よる 	 よる
訪れ 	 おとずれ
注目 さ れ て 	 ちゅうもく さ れ て
与える 	 あたえる
考え られ て 	 かんがえ られ て
含まれ て 	 ふくまれ て
作動 する 	 さどう する
比較 し て 	 ひかく し て
かかる 	 かかる
要求 さ れる 	 ようきゅう さ れる
買っ た 	 かっ た
所有 する 	 しょゆう する
配置 さ れ て 	 はいち さ れ て
配置 さ れる 	 はいち さ れる
窺 える 	 うかが える
想定 	 そうてい
利く よう 	 きく よう
開発 し た 	 かいはつ し た
探り 	 さぐり
釣る 	 つる
含め た 	 ふくめ た
上がる 	 あがる
用い られる 	 もちい られる
作成 し て 	 さくせい し て
届け ず 	 とどけ ず
持ち歩い て 	 もちあるい て
満た ず 	 みた ず
高める 	 たかめる
浮かび上がっ た 	 うかびあがっ た
愛する 	 あいする
向け た 	 むけ た
いき まし た 	 いき まし た
泊まり たく ない 	 とまり たく ない
持つ 	 もつ
窺い 始め て 	 うかがい はじめ て
発言 し 	 はつげん し
批判 し た 	 ひはん し た
行動 する 	 こうどう する
捕獲 さ れ た 	 ほかく さ れ た
居る 	 いる
告げ た 	 つげ た
できれ 	 できれ
願いし て 	 ねがいし て
終え た 	 おえ た
辞職 する 	 じしょく する
おっしゃっ た ように 	 おっしゃっ た ように
つい て 	 つい て
見え ない 	 みえ ない
触ら ない 	 さわら ない
き け なかっ た 	 き け なかっ た
ある ように 	 ある ように
達し た 	 たっし た
激励 し 	 げきれい し
自立 し た 	 じりつ し た
より 良い 	 より よい
貢献 し て 	 こうけん し て
啓蒙 する 	 けいもう する
選任 さ れる 	 せんにん さ れる
予納 する 	 よのう する
利用 さ れ て 	 りよう さ れ て
刊行 さ れ て 	 かんこう さ れ て
発表 さ れ て 	 はっぴょう さ れ て
倒産 し た 	 とうさん し た
回復 し た 	 かいふく し た
減っ た 	 へっ た
転じ まし た 	 てんじ まし た
落ち着か ない 	 おちつか ない
無くなら ない 	 なくなら ない
退化 さ せ た 	 たいか さ せ た
昇格 	 しょうかく
持つ ように なっ た 	 もつ ように なっ た
学び 	 まなび
往復 し 	 おうふく し
取材 し て 	 しゅざい し て
一巡 し 	 いちじゅん し
振 らす 	 ふ らす
占める ように なっ て 	 しめる ように なっ て
除き 	 のぞき
偽っ た 	 いつわっ た
入信 し て 	 にゅうしん し て
かけ て 	 かけ て
貸し て 	 かし て
取ら ない ように し 	 とら ない ように し
取りやめ させ 	 とりやめ させ
減らす 	 へらす
取っ た 	 とっ た
放送 さ れ た 	 ほうそう さ れ た
活躍 し た 	 かつやく し た
抹殺 する 	 まっさつ する
組織 し た 	 そしき し た
勝ち 	 かち
繋がっ た 	 つながっ た
記載 し ない 	 きさい し ない
思っ た らしく 	 おもっ た らしく
返そ う 	 かえ そう
改造 さ れ 	 かいぞう さ れ
廃車 さ れ た 	 はいしゃ さ れ た
禁止 する 	 きんし する
楽しん 	 たのしん
釣っ て 	 つっ て
支え て 	 ささえ て
潰し た 	 つぶし た
リタイヤ し 	 りたいや し
入賞 する 	 にゅうしょう する
こなす 	 こなす
得 られ ない 	 え られ ない
属し ます 	 ぞくし ます
忘れ て 	 わすれ て
リラックス でき ます 	 りらっくす でき ます
迎え た 	 むかえ た
守っ て 	 まもっ て
普及 さ せ て 	 ふきゅう さ せ て
輸出 し て 	 ゆしゅつ し て
就い て 	 つい て
上げ て 	 あげ て
統治 し て 	 とうち し て
めぐっ て 	 めぐっ て
争っ て 	 あらそっ て
保護 する 	 ほご する
支援 し た 	 しえん し た
考え ましょ う 	 かんがえ ましょ う
言っ て 	 いっ て
なれ 	 なれ
貰 え ます 	 もら え ます
問い合わせ 	 といあわせ
ください 	 ください
作り まし た 	 つくり まし た
読み 	 よみ
図る 	 はかる
し 	 し
要請 する 	 ようせい する
決め た 	 きめ た
起き た 	 おき た
関与 し て 	 かんよ し て
達成 さ せる 	 たっせい さ せる
対峙 する 	 たいじ する
くっ て 	 くっ て
増加 する 	 ぞうか する
対応 し 	 たいおう し
行なわ れ た 	 おこなわ れ た
使用 さ れ て 	 しよう さ れ て
使用 し た 	 しよう し た
運行 さ れ た 	 うんこう さ れ た
逮捕 さ れ た 	 たいほ さ れ た
渡っ て 	 わたっ て
働い て 	 はたらい て
並ぶ 	 ならぶ
言わ れる 	 いわ れる
進ん だ 	 すすん だ
渡さ れ ない 	 わたさ れ ない
凝らし た 	 こらし た
浮かぶ ようだ 	 うかぶ ようだ
包含 し た 	 ほうがん し た
加速 さ せ た 	 かそく さ せ た
跳ね上がっ た 	 はねあがっ た
追従 でき ず 	 ついじゅう でき ず
失っ た 	 うしなっ た
話し 	 はなし
盛り上がっ て 	 もりあがっ て
見れ 	 みれ
判断 でき た ような 	 はんだん でき た ような
間違え て 	 まちがえ て
石化 し た 	 せきか し た
所持 し て 	 しょじ し て
安置 さ れ て 	 あんち さ れ て
求める 	 もとめる
楽し め ます 	 たのし め ます
比べ て 	 くらべ て
持続 する 	 じぞく する
優れ た 	 すぐれ た
持ち 	 もち
使える 	 つかえる
重宝 さ れ 	 ちょうほう さ れ
投入 さ れ 	 とうにゅう さ れ
使用 さ れ た 	 しよう さ れ た
携帯 し て 	 けいたい し て
み 出し た 	 み でし た
座る 	 すわる
とどまる 	 とどまる
すべ て 	 すべ て
設置 さ れ 	 せっち さ れ
至る 	 いたる
伝える 	 つたえる
来る 	 くる
伝え ない 	 つたえ ない
引か ない 	 ひか ない
向い て 	 むい て
減点 さ れる 	 げんてん さ れる
呼ぶ 	 よぶ
呼ん だ 	 よん だ
つ ける 	 つ ける
使え ず 	 つかえ ず
し なければ なら ない 	 し なければ なら ない
生じる 	 しょうじる
伸び て 	 のび て
作る 	 つくる
召集 し た 	 しょうしゅう し た
いわ れる 	 いわ れる
召集 	 しょうしゅう
リリース し て 	 りりーす し て
復帰 する 	 ふっき する
あり ませ ん 	 あり ませ ん
鍛え られ た 	 きたえ られ た
応える 	 こたえる
はね た 	 はね た
負ける 	 まける
蹴り 	 けり
かかっ て 	 かかっ て
亡くなっ て 	 なくなっ て
食べ まし た 	 たべ まし た
いう 	 いう
止め た 	 とめ た
思っ た 	 おもっ た
職務質問 	 しょくむしつもん
掛ける 	 かける
選 べる 	 えら べる
発売 する 	 はつばい する
きる 	 きる
取り付け た 	 とりつけ た
刈り取っ た 	 かりとっ た
取り除い て 	 とりのぞい て
仕上げる 	 しあげる
分から なかっ た 	 わから なかっ た
歪ま せる 	 ひずみま せる
感じ た 	 かんじ た
散見 する 	 さんけん する
崩す 	 くずす
近づい て 	 ちかづい て
放っ 	 はなっ
発生 さ せ て 	 はっせい さ せ て
攻撃 する 	 こうげき する
配列 し て 	 はいれつ し て
描く 	 えがく
主宰 する 	 しゅさい する
入り 	 いり
仰い 	 あおい
迎える 	 むかえる
でき まし た 	 でき まし た
行く 	 いく
歩い て 	 あるい て
迷わ ず 	 まよわ ず
行っ ちゃい ます 	 いっ ちゃい ます
はじめ 	 はじめ
提出 し た 	 ていしゅつ し た
変わっ て 	 かわっ て
広々とし て 	 ひろびろとし て
説明 し て 	 せつめい し て
遭遇 する 	 そうぐう する
イラっと し ます 	 いらっと し ます
訪問 する 	 ほうもん する
装備 さ れる ように なっ て 	 そうび さ れる ように なっ て
わかり やすい です 	 わかり やすい です
称し 	 しょうし
廃し た 	 すたし た
導入 し た 	 どうにゅう し た
用いる 	 もちいる
検討 さ れ て 	 けんとう さ れ て
分析 さ れ た 	 ぶんせき さ れ た
似 た ような 	 に た ような
あらわれ て 	 あらわれ て
勝っ て 	 かっ て
泣き 	 なき
負け て 	 まけ て
泣く 	 なく
入る 	 はいる
受領 し て 	 じゅりょう し て
得 た 	 え た
称さ れる 	 しょうさ れる
放映 さ れ た ように 	 ほうえい さ れ た ように
発布 し 	 はっぷ し
選出 する ように なり 	 せんしゅつ する ように なり
受け なく なる ように なっ た 	 うけ なく なる ように なっ た
掘り下げ て 	 ほりさげ て
き 	 き
つ け ましょ う 	 つ け ましょ う
似 て 	 に て
帯び た 	 おび た
確認 でき た 	 かくにん でき た
変更 する 	 へんこう する
隠す 	 かくす
いじくっ て 	 いじくっ て
とり 	 とり
踏ん 	 ふん
やっ て 	 やっ て
すれ 	 すれ
続行 し た 	 ぞっこう し た
み られる 	 み られる
滞在 し 	 たいざい し
触発 さ れ た 	 しょくはつ さ れ た
執筆 し た 	 しっぴつ し た
許さ れ た 	 ゆるさ れ た
入れ た 	 いれ た
言い 	 ことい
選ば れ 	 えらば れ
誘導 し た 	 ゆうどう し た
めぶく 	 めぶく
でき て 	 でき て
接合 さ れ た 	 せつごう さ れ た
感じ なかっ た 	 かんじ なかっ た
運営 する 	 うんえい する
受け た 	 うけ た
続け て 	 つづけ て
戻っ て 	 もどっ て
警告 する 	 けいこく する
構成 さ れる 	 こうせい さ れる
訪問 	 ほうもん
進め られる 	 すすめ られる
済む 	 すむ
所属 し て 	 しょぞく し て
皮肉っ た 	 ひにくっ た
くっつけ た 	 くっつけ た
ゆく 	 ゆく
生きる 	 いきる
確信 し て 	 かくしん し て
持ち込も う 	 もちこも う
外れ た 	 はずれ た
云 える 	 い える
受賞 	 じゅしょう
明け た 	 あけ た
行っ た 	 いっ た
現れ 	 あらわれ
入ら なく なっ て 	 はいら なく なっ て
感じ られ まし た 	 かんじ られ まし た
伸張 し 	 しんちょう し
拡大 し た 	 かくだい し た
注意 さ れ て 	 ちゅうい さ れ て
下ろす 	 おろす
勧め 	 すすめ
一般化 さ せ た 	 いっぱんか さ せ た
暴く 	 あばく
雇う 	 やとう
放球 さ れ た 	 ほうきゅう さ れ た
想像 する 	 そうぞう する
存命 	 ぞんめい
話し て 	 はなし て
記さ れ た 	 きさ れ た
認知 さ れ た 	 にんち さ れ た
起こっ て 	 おこっ て
策定 する 	 さくてい する
派遣 し 	 はけん し
勉強 し なさい 	 べんきょう し なさい
言わ なく て 	 いわ なく て
勉強 する ように なっ た 	 べんきょう する ように なっ た
通わ せ て 	 かよわ せ て
食べ れる 	 たべ れる
沈ま ない 	 しずま ない
悩まさ れ 	 なやまさ れ
陥っ た 	 おちいっ た
解き明かす べき 	 ときあかす べき
違う でしょ う 	 ちがう でしょ う
設置 し た 	 せっち し た
食す 	 しょくす
わたり 	 わたり
繰り広げ 	 くりひろげ
敗れ去る 	 やぶれさる
封じ 	 ふうじ
攻撃 さ せ た 	 こうげき さ せ た
負わ せる 	 おわ せる
成功 し た 	 せいこう し た
倒し て 	 たおし て
離れる 	 はなれる
潜っ て 	 もぐっ て
消し 	 けし
経つ 	 たつ
出現 する 	 しゅつげん する
繰り返す 	 くりかえす
出演 	 しゅつえん
思う 	 おもう
まとめ て 	 まとめ て
書か れ て 	 かか れ て
合併 	 がっぺい
残存 し て 	 ざんぞん し て
響い た 	 ひびい た
発生 する 	 はっせい する
紛糾 し た 	 ふんきゅう し た
終了 し て 	 しゅうりょう し て
参照 	 さんしょう
採用 さ れ て 	 さいよう さ れ て
発生 し た ように 	 はっせい し た ように
放置 する 	 ほうち する
展開 さ れる 	 てんかい さ れる
タッチ し ない 	 たっち し ない
い なかっ た 	 い なかっ た
授かり 	 さずかり
喜ん 	 きん
育てる 	 そだてる
食事 する 	 しょくじ する
わたっ て 	 わたっ て
守る 	 まもる
基づき 	 もとづき
支援 し て 	 しえん し て
至っ て 	 いた って
転じ て 	 てんじ て
呼ぶ ように 	 よぶ ように
出し て 	 だし て
進める 	 すすめる
飾っ た 	 かざっ た
描か れ て 	 えがか れ て
遅れ 	 おくれ
追突 さ れ た 	 ついとつ さ れ た
破損 	 はそん
変身 する ように なる 	 へんしん する ように なる
保証 さ れる 	 ほしょう さ れる
行わ れ ない 	 おこなわ れ ない
指す 	 ゆびす
追加 する 	 ついか する
製造 さ れ た 	 せいぞう さ れ た
含め られる 	 ふくめ られる
分かり づらい 	 わかり づらい
連動 さ せ て 	 れんどう さ せ て
移し 	 うつし
見 	 み
移動 	 いどう
実現 し よう 	 じつげん し よう
理解 し て 	 りかい し て
投げ よう 	 なげ よう
低下 する 	 ていか する
認め て 	 みとめ て
明記 さ れ て 	 めいき さ れ て
由来 する 	 ゆらい する
行う べき だ 	 おこなう べき だ
主張 し て 	 しゅちょう し て
予想 さ れる 	 よそう さ れる
叙述 さ れ て 	 じょじゅつ さ れ て
伸びる 	 のびる
放ち 	 はなち
会い 出来 	 あい でき
思い まし た 	 おもい まし た
つか れ 	 つか れ
だまさ れ 	 だまさ れ
とら れ て 	 とら れ て
販売 する 	 はんばい する
上回る 	 うわまわる
低迷 する 	 ていめい する
下落 する 	 げらく する
予想 し て 	 よそう し て
合体 	 がったい
行か なく て 	 いか なく て
訳注 さ れ た 	 やくちゅう さ れ た
収納 さ れる 	 しゅうのう さ れる
示さ れる 	 しめさ れる
考案 さ れ た 	 こうあん さ れ た
出演 できる 	 しゅつえん できる
眺める 	 ながめる
架かる 	 かかる
思わ せる 	 おもわ せる
し ましょ う 	 し ましょ う
企む 	 たくらむ
残し た 	 のこし た
スカウト する 	 すかうと する
主催 さ れ た 	 しゅさい さ れ た
締結 さ れ た 	 ていけつ さ れ た
展開 する 	 てんかい する
漂う 	 ただよう
につい て 	 につい て
触れ ない 	 ふれ ない
気に入り まし た 	 きにいり まし た
倒れ た 	 たおれ た
看取っ た 	 かんしゅっ た
似通っ て 	 にかよっ て
受け取っ た 	 うけとっ た
細め 	 ほそめ
さ れ た 	 さ れ た
達し 	 たっし
ほころん だ 	 ほころん だ
提唱 し た 	 ていしょう し た
決定 し た 	 けってい し た
実行 し た 	 じっこう し た
失敗 する 	 しっぱい する
伴っ て 	 ともなっ て
縮小 さ れ た 	 しゅくしょう さ れ た
傷つける 	 きずつける
信仰 する 	 しんこう する
触れ て 	 ふれ て
終了 し 	 しゅうりょう し
鳴り響く 	 なりひびく
始める 	 はじめる
ざわつい た 	 ざわつい た
鍛え 	 きたえ
変化 し 	 へんか し
演出 する 	 えんしゅつ する
与え られ て 	 あたえ られ て
及ば なかっ た 	 およば なかっ た
売り上げ た 	 うりあげ た
死亡 する 	 しぼう する
在る 	 ある
合格 できる 	 ごうかく できる
設定 し て 	 せってい し て
指定 さ れ て 	 してい さ れ て
導 ける 	 みちび ける
慕う 	 したう
化し て 	 かし て
出 た 	 で た
置い て 	 おい て
グレ て 	 ぐれ て
飲ん 	 のん
出 たら 	 で たら
し たら 	 し たら
志し 	 こころざしし
希望 し た 	 きぼう し た
押し切っ て 	 おしきっ て
上京 	 じょうきょう
言わ れる ように なっ た 	 いわ れる ように なっ た
探し て 	 さがし て
惹か れ て 	 ひか れ て
入っ て 	 はいっ て
押さえ 込む 	 おさえ こむ
でき た 	 でき た
成る 	 なる
開始 し 	 かいし し
発生 し て 	 はっせい し て
研究 し た 	 けんきゅう し た
引き続き 	 ひきつづき
構築 する 	 こうちく する
提唱 さ れ た 	 ていしょう さ れ た
伝送 する 	 でんそう する
考え られる 	 かんがえ られる
開催 し た 	 かいさい し た
困る 	 こまる
退団 する 	 たいだん する
退団 し た 	 たいだん し た
向け 	 むけ
始め 	 はじめ
対応 する 	 たいおう する
たり 	 たり
脱退 でき ない 	 だったい でき ない
問わ ず 	 とわ ず
入社 し 	 にゅうしゃ し
兼務 し て 	 けんむ し て
引き継い 	 ひきつい
デザイン し 直さ れ て 	 でざいん し なおさ れ て
増やす 	 ふやす
